scenario_id,round,mode,rep,model_route,status,error_class,changed_files
M001,1,grok_v1_final_json,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M001,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M001,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M001,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M001,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M002,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,grok_v2_template_lock,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M002,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M002,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M002,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M002,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M003,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M003,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M003,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M003,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M003,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M003,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M003,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M003,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
