scenario_id,round,mode,rep,model_route,status,error_class,changed_files
M001,1,compressed_general,1,gemini_3_5_flash,ok_repaired,,"index.html,styles.css"
M001,1,compressed_general,1,gemini_3_flash_preview,ok,,"index.html,styles.css"
M001,1,compressed_general,1,glm_5,ok,,"index.html,styles.css"
M001,1,compressed_general,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M001,1,compressed_general,1,qwen3_next_80b_instruct,ok_repaired,,"index.html,styles.css"
M001,1,compressed_general,2,gemini_3_5_flash,ok,,"index.html,styles.css"
M001,1,compressed_general,2,gemini_3_flash_preview,ok,,"index.html,styles.css"
M001,1,compressed_general,2,glm_5,ok,,"index.html,styles.css"
M001,1,compressed_general,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M001,1,compressed_general,2,qwen3_next_80b_instruct,ok_repaired,,"index.html,styles.css"
M001,1,hybrid_state_general,1,gemini_3_5_flash,ok,,"index.html,styles.css"
M001,1,hybrid_state_general,1,gemini_3_flash_preview,ok,,"index.html,styles.css"
M001,1,hybrid_state_general,1,glm_5,ok,,"index.html,styles.css"
M001,1,hybrid_state_general,1,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,hybrid_state_general,1,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M001,1,hybrid_state_general,2,gemini_3_5_flash,error,json_parse_or_contract,
M001,1,hybrid_state_general,2,gemini_3_flash_preview,ok,,"index.html,styles.css"
M001,1,hybrid_state_general,2,glm_5,ok,,"index.html,styles.css"
M001,1,hybrid_state_general,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M001,1,hybrid_state_general,2,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M001,1,model_adapted,1,gemini_3_5_flash,ok_repaired,,"index.html,styles.css"
M001,1,model_adapted,1,gemini_3_flash_preview,error,429_resource_exhausted,
M001,1,model_adapted,1,glm_5,ok,,"index.html,styles.css"
M001,1,model_adapted,1,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,model_adapted,1,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M001,1,model_adapted,2,gemini_3_5_flash,ok,,"index.html,styles.css"
M001,1,model_adapted,2,gemini_3_flash_preview,ok,,"index.html,styles.css"
M001,1,model_adapted,2,glm_5,ok,,"index.html,styles.css"
M001,1,model_adapted,2,grok_4_20_reasoning,error,429_resource_exhausted,
M001,1,model_adapted,2,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M002,1,compressed_general,1,gemini_3_5_flash,ok,,"index.html,styles.css"
M002,1,compressed_general,1,gemini_3_flash_preview,ok,,"index.html,styles.css"
M002,1,compressed_general,1,glm_5,ok,,"index.html,styles.css"
M002,1,compressed_general,1,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,compressed_general,1,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M002,1,compressed_general,2,gemini_3_5_flash,error,json_parse_or_contract,
M002,1,compressed_general,2,gemini_3_flash_preview,ok,,"index.html,styles.css"
M002,1,compressed_general,2,glm_5,ok,,"index.html,styles.css"
M002,1,compressed_general,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M002,1,compressed_general,2,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,1,gemini_3_5_flash,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,1,gemini_3_flash_preview,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,1,glm_5,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,1,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,hybrid_state_general,1,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,2,gemini_3_5_flash,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,2,gemini_3_flash_preview,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,2,glm_5,ok,,"index.html,styles.css"
M002,1,hybrid_state_general,2,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,hybrid_state_general,2,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M002,1,model_adapted,1,gemini_3_5_flash,ok,,"index.html,styles.css"
M002,1,model_adapted,1,gemini_3_flash_preview,ok,,"index.html,styles.css"
M002,1,model_adapted,1,glm_5,ok,,"index.html,styles.css"
M002,1,model_adapted,1,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,model_adapted,1,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M002,1,model_adapted,2,gemini_3_5_flash,ok,,"index.html,styles.css"
M002,1,model_adapted,2,gemini_3_flash_preview,ok,,"index.html,styles.css"
M002,1,model_adapted,2,glm_5,ok,,"index.html,styles.css"
M002,1,model_adapted,2,grok_4_20_reasoning,error,429_resource_exhausted,
M002,1,model_adapted,2,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M003,1,compressed_general,1,gemini_3_5_flash,ok,,"index.html,styles.css"
M003,1,compressed_general,1,gemini_3_flash_preview,error,429_resource_exhausted,
M003,1,compressed_general,1,glm_5,ok,,"index.html,styles.css"
M003,1,compressed_general,1,grok_4_20_reasoning,error,429_resource_exhausted,
M003,1,compressed_general,1,qwen3_next_80b_instruct,ok,,"index.html,styles.css"
M003,1,compressed_general,2,gemini_3_5_flash,ok,,"index.html,styles.css"
