exp,path,metric,pairs,mean_delta,ci_low,ci_high,note
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_semantic_fidelity,83,0.325301,0.144578,0.530120,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_clarity,83,-0.337349,-0.530120,-0.168675,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_utility,83,0.301205,0.108434,0.506024,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_completeness,83,0.337349,0.120482,0.578313,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_state_preservation,83,0.289157,0.084337,0.518072,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_operational_continuity,83,0.253012,0.060241,0.445783,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_context_recoverability,83,0.349398,0.144578,0.578313,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_handoff_quality,83,0.253012,0.084337,0.445783,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_compactness,83,-0.012048,-0.108434,0.096386,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_ambiguity,83,0.072289,-0.144578,0.289157,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.csv,metric_information_loss,83,-0.265060,-0.493976,-0.048193,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.jsonl,semantic_fidelity,83,0.325301,0.144578,0.530120,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.jsonl,clarity,83,-0.337349,-0.518072,-0.156627,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.jsonl,utility,83,0.301205,0.120482,0.493976,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.jsonl,completeness,83,0.337349,0.120482,0.566265,hybrid_state_minus_compressed
EXP05,05_Experimentos\EXP05_PREMIUM_MULTIMODEL_TRILINGUAL\clean\clean_evaluations.jsonl,state_preservation,83,0.289157,0.084337,0.518072,hybrid_state_minus_compressed
