metric,mode,baseline,paired_n,mean_delta,sd_delta,ci95_low,ci95_high,cohen_dz
quality_index,hybrid_min,compressed,440,-0.4977,1.1571,-0.6058,-0.3896,-0.4301
quality_index,hybrid_state,compressed,430,-0.1076,1.011,-0.2031,-0.012,-0.1064
quality_index,natural,compressed,440,-0.1381,0.9809,-0.2298,-0.0465,-0.1408
semantic_fidelity,hybrid_min,compressed,440,-0.4523,1.3372,-0.5772,-0.3273,-0.3382
semantic_fidelity,hybrid_state,compressed,430,-0.1419,1.1986,-0.2552,-0.0286,-0.1184
semantic_fidelity,natural,compressed,440,-0.1636,1.1437,-0.2705,-0.0568,-0.1431
state_preservation,hybrid_min,compressed,440,-0.3818,1.3666,-0.5095,-0.2541,-0.2794
state_preservation,hybrid_state,compressed,430,0.1326,1.1399,0.0248,0.2403,0.1163
state_preservation,natural,compressed,440,-0.2409,1.2395,-0.3567,-0.1251,-0.1944
operational_continuity,hybrid_min,compressed,440,-0.5386,1.3443,-0.6642,-0.413,-0.4007
operational_continuity,hybrid_state,compressed,430,0.007,1.123,-0.0992,0.1131,0.0062
operational_continuity,natural,compressed,440,-0.3023,1.1834,-0.4128,-0.1917,-0.2554
compactness,hybrid_min,compressed,440,0.0159,0.6166,-0.0417,0.0735,0.0258
compactness,hybrid_state,compressed,430,-0.014,0.7028,-0.0804,0.0525,-0.0199
compactness,natural,compressed,440,-0.425,0.9635,-0.515,-0.335,-0.4411
