language,mode,n,quality_index_mean,quality_index_sd,semantic_fidelity_mean,clarity_mean,utility_mean,completeness_mean,state_preservation_mean,operational_continuity_mean,context_recoverability_mean,handoff_quality_mean,compactness_mean,protocol_transferability_mean,language_or_variant_stability_mean,ambiguity_mean,information_loss_mean
EN,compressed,141,4.002909619930897,1.2458519215429054,3.8841607565011818,4.215130023640662,3.7872340425531914,3.633569739952719,3.8865248226950353,3.9030732860520096,3.773049645390071,3.8486997635933804,4.747044917257684,3.9267139479905433,4.855791962174941,2.049645390070922,2.373522458628842
EN,hybrid_state,144,3.8260327635327633,1.2419075046279464,3.7847222222222223,3.576388888888889,3.6782407407407405,3.581018518518518,3.9097222222222223,3.8680555555555554,3.6666666666666665,3.668981481481482,4.650462962962963,3.8472222222222223,4.49537037037037,2.5300925925925926,2.4583333333333335
EN_LITERAL,compressed,90,3.7139601139601144,1.2913801250992252,3.5925925925925926,3.785185185185185,3.5259259259259257,3.4185185185185185,3.6,3.6185185185185187,3.3703703703703702,3.4592592592592593,4.65925925925926,3.692592592592592,4.607407407407408,2.4185185185185185,2.6296296296296293
EN_LITERAL,hybrid_state,90,3.476638176638177,1.2093100326686201,3.4185185185185185,3.159259259259259,3.2,3.251851851851852,3.7,3.5444444444444443,3.3259259259259255,3.251851851851852,4.574074074074074,3.4814814814814814,4.074074074074074,2.9555555555555557,2.8296296296296295
ES,compressed,141,4.028550645571922,1.35143336656036,3.9952718676122934,4.232860520094563,3.8841607565011818,3.763593380614657,3.894799054373522,3.9456264775413716,3.8250591016548467,3.900709219858156,4.711583924349882,3.9361702127659575,4.621749408983451,2.049645390070922,2.2907801418439715
ES,hybrid_state,141,3.818148754318967,1.292037665511135,3.7825059101654848,3.643026004728132,3.690307328605201,3.541371158392435,3.950354609929078,3.84160756501182,3.685579196217494,3.6950354609929077,4.624113475177305,3.8274231678486994,4.32387706855792,2.4893617021276597,2.479905437352246
ES_LITERAL,compressed,90,3.807122507122507,1.36935920991795,3.7444444444444445,3.9629629629629632,3.6222222222222222,3.511111111111111,3.67037037037037,3.7037037037037033,3.5296296296296297,3.577777777777778,4.7555555555555555,3.7333333333333334,4.4222222222222225,2.2518518518518515,2.488888888888889
ES_LITERAL,hybrid_state,90,3.535042735042735,1.3505919350440734,3.5037037037037035,3.285185185185185,3.351851851851852,3.348148148148148,3.651851851851852,3.566666666666667,3.3851851851851853,3.3333333333333335,4.662962962962963,3.5148148148148146,3.8925925925925924,2.7888888888888888,2.7518518518518515
ZH,compressed,225,3.921367521367521,1.3024363778917967,3.874074074074074,4.142222222222222,3.7525925925925927,3.582222222222222,3.7777777777777777,3.8414814814814817,3.631111111111111,3.7570370370370374,4.743703703703703,3.8474074074074074,4.632592592592593,2.16,2.4444444444444446
ZH,hybrid_state,231,3.728937728937729,1.2657701676150708,3.6984126984126986,3.531024531024531,3.5396825396825395,3.412698412698413,3.8932178932178934,3.761904761904762,3.568542568542569,3.5786435786435784,4.663780663780663,3.7821067821067818,4.207792207792208,2.5786435786435784,2.582972582972583
ZH_PINYIN,compressed,90,3.372364672364672,1.3013030358393773,3.2666666666666666,3.4851851851851854,3.148148148148148,3.0814814814814815,3.281481481481481,3.251851851851852,3.1,3.2,4.525925925925926,3.362962962962963,3.92962962962963,2.7666666666666666,3.0259259259259257
ZH_PINYIN,hybrid_state,90,3.2837606837606836,1.2092056046912545,3.225925925925926,3.066666666666667,3.022222222222222,3.0296296296296297,3.4444444444444446,3.32962962962963,3.1666666666666665,3.1185185185185187,4.611111111111111,3.351851851851852,3.4444444444444446,3.0740740740740744,3.048148148148148
