framework,model_key,task_id,rep,delta_variable_recovery_rate,delta_subtask_completion_rate,delta_plan_continuity_rate,delta_constraint_retention_rate,delta_handoff_success,delta_state_error_count
langgraph,azure_gpt_5_4_high,H001,1,0.0,0.0,-0.5,1.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H001,1,0.5,0.0,0.0,1.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H001,2,-1.0,0.0,-0.5,0.0,0.0,3.0
langgraph,azure_gpt_chat_latest,H001,2,0.5,0.0,0.0,1.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H001,3,0.0,0.0,0.0,1.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H001,3,0.5,0.0,0.0,1.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H002,1,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H002,1,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H002,2,0.0,0.0,-0.5,0.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H002,2,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H002,3,-1.0,0.0,-0.5,-1.0,0.0,98.0
langgraph,azure_gpt_chat_latest,H002,3,0.0,0.0,0.25,-1.0,0.0,-1.0
langgraph,azure_gpt_5_4_high,H003,1,1.0,0.0,0.25,1.0,0.0,-99.0
langgraph,azure_gpt_chat_latest,H003,1,0.0,0.0,0.0,0.0,0.0,1.0
langgraph,azure_gpt_5_4_high,H003,2,0.0,-0.5,-1.0,0.0,0.0,1.0
langgraph,azure_gpt_chat_latest,H003,2,0.0,-1.0,0.0,0.0,0.0,1.0
langgraph,azure_gpt_5_4_high,H003,3,-1.0,0.0,0.0,-1.0,0.0,97.0
langgraph,azure_gpt_chat_latest,H003,3,0.0,-0.25,1.0,0.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H004,1,0.0,0.0,0.0,0.0,0.0,0.0
