phase,n,semantic_fidelity_mean,semantic_fidelity_sd,semantic_fidelity_ci95_low,semantic_fidelity_ci95_high,utility_mean,utility_sd,utility_ci95_low,utility_ci95_high,state_preservation_mean,state_preservation_sd,state_preservation_ci95_low,state_preservation_ci95_high,operational_continuity_mean,operational_continuity_sd,operational_continuity_ci95_low,operational_continuity_ci95_high,handoff_quality_mean,handoff_quality_sd,handoff_quality_ci95_low,handoff_quality_ci95_high,compactness_mean,compactness_sd,compactness_ci95_low,compactness_ci95_high,ambiguity_mean,ambiguity_sd,ambiguity_ci95_low,ambiguity_ci95_high,information_loss_mean,information_loss_sd,information_loss_ci95_low,information_loss_ci95_high,quality_index_mean,quality_index_sd,quality_index_ci95_low,quality_index_ci95_high,token_efficiency_mean,token_efficiency_sd,token_efficiency_ci95_low,token_efficiency_ci95_high
exp05_gpt_instant_part_1,90,4.6778,1.0475,4.4614,4.8942,4.6444,0.9518,4.4478,4.8411,4.6556,1.0511,4.4384,4.8727,4.6889,0.9439,4.4939,4.8839,4.6556,1.0185,4.4451,4.866,4.8,0.4293,4.7113,4.8887,1.1,0.5415,0.9881,1.2119,1.3111,1.0455,1.0951,1.5271,4.7588,0.7123,4.6117,4.906,15.8103,3.7559,15.0344,16.5863
exp05_gpt_instant_part_2,90,4.9111,0.3864,4.8313,4.9909,4.8889,0.5288,4.7796,4.9981,4.9222,0.3741,4.8449,4.9995,4.9222,0.4794,4.8232,5.0213,4.9333,0.4447,4.8415,5.0252,4.8556,0.3535,4.7825,4.9286,1.0333,0.1805,0.996,1.0706,1.0,0.0,1.0,1.0,4.9624,0.1337,4.9347,4.99,15.8206,4.7608,14.837,16.8042
exp05_gpt_instant_part_3,90,4.4222,0.9596,4.224,4.6205,4.1667,1.2475,3.9089,4.4244,3.9,1.3825,3.6144,4.1856,4.1222,1.2527,3.8634,4.381,3.9889,1.0111,3.78,4.1978,4.6778,0.5964,4.5546,4.801,1.7556,0.8908,1.5715,1.9396,2.3111,1.2238,2.0583,2.5639,4.1116,0.7973,3.9469,4.2763,13.0124,3.8843,12.2099,13.8149
exp05_gpt_instant_part_4,90,4.6,1.0579,4.3814,4.8186,4.6111,1.0568,4.3928,4.8294,4.6556,1.0185,4.4451,4.866,4.6333,1.0648,4.4134,4.8533,4.6333,1.0648,4.4134,4.8533,4.7333,0.6999,4.5887,4.8779,1.3111,0.9439,1.1161,1.5061,1.4,1.0684,1.1793,1.6207,4.6551,0.942,4.4604,4.8497,13.0949,3.9215,12.2847,13.9051
full_part_1,450,3.8778,1.6459,3.7257,4.0298,3.9,1.6581,3.7468,4.0532,3.8933,1.6691,3.7391,4.0476,3.9378,1.6674,3.7837,4.0918,3.9022,1.6843,3.7466,4.0578,4.4689,1.1637,4.3614,4.5764,1.8933,1.499,1.7548,2.0318,2.1422,1.7048,1.9847,2.2997,4.01,1.4907,3.8723,4.1477,13.8203,8.0682,13.0748,14.5657
full_part_2,450,4.52,0.9442,4.4328,4.6072,4.4422,1.0479,4.3454,4.539,4.52,1.0321,4.4246,4.6154,4.5356,0.9763,4.4454,4.6258,4.4711,1.0763,4.3717,4.5706,4.8822,0.3913,4.8461,4.9184,1.28,0.587,1.2258,1.3342,1.5733,1.1208,1.4698,1.6769,4.583,0.7704,4.5118,4.6542,14.4976,7.9236,13.7655,15.2297
full_part_3,450,4.1089,1.0357,4.0132,4.2046,3.6911,1.1522,3.5847,3.7976,3.76,1.1714,3.6518,3.8682,3.7511,1.1561,3.6443,3.8579,3.4889,1.0557,3.3913,3.5864,4.8556,0.3937,4.8192,4.8919,2.4556,1.0695,2.3567,2.5544,2.7422,1.1714,2.634,2.8505,3.6682,0.9158,3.5836,3.7529,11.8177,7.1669,11.1555,12.4799
full_part_4,450,4.0711,1.3127,3.9498,4.1924,4.0,1.4095,3.8698,4.1302,4.26,1.2129,4.1479,4.3721,4.1889,1.2915,4.0696,4.3082,4.1378,1.3493,4.0131,4.2624,4.6911,0.8093,4.6163,4.7659,1.8511,1.2424,1.7363,1.9659,2.0133,1.3612,1.8876,2.1391,4.1498,1.1935,4.0396,4.2601,12.8695,7.731,12.1552,13.5839
miniexp_a2_azure_grok_4_3_part_1,144,3.9722,1.2287,3.7715,4.1729,3.4514,1.1816,3.2584,3.6444,3.5764,1.3922,3.349,3.8038,3.5069,1.1647,3.3167,3.6972,3.4306,1.2828,3.221,3.6401,4.9931,0.0833,4.9794,5.0067,2.4167,1.1856,2.223,2.6103,2.9861,1.3842,2.76,3.2122,3.5546,0.9908,3.3928,3.7164,2.6839,1.9591,2.364,3.0039
miniexp_a_grok_part_1,288,4.5521,1.0579,4.4299,4.6743,4.4965,1.1043,4.369,4.6241,4.6007,0.9966,4.4856,4.7158,4.5833,1.0326,4.4641,4.7026,4.5868,1.0424,4.4664,4.7072,4.8854,0.3402,4.8461,4.9247,1.2708,0.7895,1.1797,1.362,1.4757,1.1197,1.3464,1.605,4.6333,0.8392,4.5364,4.7302,5.2342,3.2688,4.8567,5.6117
