phase,mode,n,quality_index_mean,quality_index_sd,quality_index_ci95_low,quality_index_ci95_high,semantic_fidelity_mean,semantic_fidelity_sd,semantic_fidelity_ci95_low,semantic_fidelity_ci95_high,state_preservation_mean,state_preservation_sd,state_preservation_ci95_low,state_preservation_ci95_high,operational_continuity_mean,operational_continuity_sd,operational_continuity_ci95_low,operational_continuity_ci95_high,compactness_mean,compactness_sd,compactness_ci95_low,compactness_ci95_high,ambiguity_mean,ambiguity_sd,ambiguity_ci95_low,ambiguity_ci95_high,information_loss_mean,information_loss_sd,information_loss_ci95_low,information_loss_ci95_high
exp05_gpt_instant_part_1,compressed,22,4.7562,0.686,4.4695,5.0429,4.5909,1.1816,4.0972,5.0847,4.5455,1.1843,4.0506,5.0403,4.6818,0.8937,4.3084,5.0553,4.9091,0.2942,4.7861,5.032,1.0,0.0,1.0,1.0,1.3636,1.177,0.8718,1.8555
exp05_gpt_instant_part_1,hybrid_min,22,4.6312,0.9384,4.2391,5.0233,4.6364,1.0486,4.1982,5.0745,4.6364,1.0486,4.1982,5.0745,4.5455,1.0568,4.1038,4.9871,4.9091,0.4264,4.7309,5.0873,1.4091,1.0538,0.9688,1.8494,1.3636,1.0486,0.9255,1.8018
exp05_gpt_instant_part_1,hybrid_state,22,4.9979,0.0097,4.9939,5.002,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,4.9545,0.2132,4.8655,5.0436,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
exp05_gpt_instant_part_1,natural,24,4.6591,0.8053,4.3369,4.9813,4.5,1.3513,3.9594,5.0406,4.4583,1.3507,3.918,4.9987,4.5417,1.2504,4.0414,5.0419,4.4583,0.509,4.2547,4.662,1.0,0.0,1.0,1.0,1.5,1.3513,0.9594,2.0406
exp05_gpt_instant_part_2,compressed,24,4.9792,0.0628,4.954,5.0043,4.875,0.3378,4.7398,5.0102,4.9583,0.2041,4.8767,5.04,4.9167,0.4082,4.7533,5.08,4.9583,0.2041,4.8767,5.04,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
exp05_gpt_instant_part_2,hybrid_min,22,4.9979,0.0097,4.9939,5.002,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
exp05_gpt_instant_part_2,hybrid_state,22,4.9938,0.016,4.9871,5.0005,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,4.8636,0.3513,4.7169,5.0104,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
exp05_gpt_instant_part_2,natural,22,4.8771,0.2465,4.774,4.9801,4.7727,0.6853,4.4863,5.0591,4.7273,0.7025,4.4337,5.0208,4.7727,0.8691,4.4095,5.1359,4.5909,0.5032,4.3806,4.8012,1.1364,0.3513,0.9896,1.2831,1.0,0.0,1.0,1.0
exp05_gpt_instant_part_3,compressed,22,4.156,0.887,3.7854,4.5266,4.3636,1.0486,3.9255,4.8018,3.8636,1.3903,3.2827,4.4446,4.2273,1.1519,3.7459,4.7086,4.7727,0.4289,4.5935,4.952,1.6364,1.0486,1.1982,2.0745,2.4091,1.098,1.9503,2.8679
exp05_gpt_instant_part_3,hybrid_min,24,3.9811,0.6701,3.713,4.2492,4.6667,0.702,4.3858,4.9475,4.1667,0.9168,3.7999,4.5335,4.25,0.8969,3.8912,4.6088,5.0,0.0,5.0,5.0,2.375,0.8754,2.0248,2.7252,2.2083,0.833,1.8751,2.5416
exp05_gpt_instant_part_3,hybrid_state,22,4.0899,0.6962,3.7989,4.3808,4.4091,0.9081,4.0296,4.7886,3.8636,1.5521,3.215,4.5122,4.2727,1.2025,3.7703,4.7752,4.8636,0.3513,4.7169,5.0104,1.7727,0.6853,1.4863,2.0591,2.5455,1.3355,1.9874,3.1035
exp05_gpt_instant_part_3,natural,22,4.2314,0.9453,3.8364,4.6264,4.2273,1.1519,3.7459,4.7086,3.6818,1.6442,2.9947,4.3689,3.7273,1.6671,3.0306,4.4239,4.0455,0.7854,3.7172,4.3737,1.1818,0.3948,1.0169,1.3468,2.0909,1.5708,1.4345,2.7473
exp05_gpt_instant_part_4,compressed,22,4.9194,0.2632,4.8095,5.0294,4.9091,0.2942,4.7861,5.032,4.9091,0.2942,4.7861,5.032,4.9091,0.2942,4.7861,5.032,4.9545,0.2132,4.8655,5.0436,1.0909,0.2942,0.968,1.2139,1.0909,0.2942,0.968,1.2139
exp05_gpt_instant_part_4,hybrid_min,22,4.4948,1.2991,3.952,5.0377,4.4545,1.405,3.8674,5.0417,4.5,1.3002,3.9567,5.0433,4.4545,1.405,3.8674,5.0417,4.7273,0.8827,4.3584,5.0961,1.5,1.3002,0.9567,2.0433,1.5455,1.405,0.9583,2.1326
exp05_gpt_instant_part_4,hybrid_state,24,4.6856,0.6637,4.4201,4.9512,4.625,0.7109,4.3406,4.9094,4.75,0.6757,4.4797,5.0203,4.7083,0.7506,4.408,5.0086,4.8333,0.3807,4.681,4.9856,1.2917,0.6903,1.0155,1.5678,1.375,0.7697,1.0671,1.6829
exp05_gpt_instant_part_4,natural,22,4.5176,1.1833,4.0231,5.012,4.4091,1.4027,3.8229,4.9952,4.4545,1.405,3.8674,5.0417,4.4545,1.405,3.8674,5.0417,4.4091,0.9591,4.0083,4.8099,1.3636,1.177,0.8718,1.8555,1.5909,1.4027,1.0048,2.1771
full_part_1,compressed,110,4.0721,1.4296,3.805,4.3393,3.9273,1.5838,3.6313,4.2233,3.9182,1.6092,3.6175,4.2189,4.0364,1.608,3.7359,4.3369,4.5909,1.0605,4.3927,4.7891,1.7909,1.4148,1.5265,2.0553,2.1455,1.6581,1.8356,2.4553
full_part_1,hybrid_min,110,3.6727,1.609,3.372,3.9734,3.5636,1.7585,3.235,3.8923,3.5545,1.7847,3.221,3.8881,3.6091,1.777,3.277,3.9412,4.5182,1.276,4.2797,4.7566,2.2909,1.6554,1.9816,2.6003,2.4909,1.8059,2.1534,2.8284
