cell_id,source_generation_cell_id,phase,task_id,task_group,language,mode,repetition,generator_model_key,model_key,quality_index,critical_failure,semantic_fidelity,clarity,utility,completeness,state_preservation,operational_continuity,context_recoverability,handoff_quality,compactness,protocol_transferability,language_or_variant_stability,ambiguity,information_loss
460d21c1cdcd78b851921c077457cb2916c88d41292884f78829db5a0a3f180f,6085fb7c35b634a28974caef4ba917cfbbcdb23ea26aa8720b9c7c2b59dd8b73,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,compressed,1,grok_4_20_non_reasoning,gemini_3_5_flash,5.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
a954fb6e172a1ff19c364752c0f2808523e8a2edfce931d74b2153f49fae6c18,6085fb7c35b634a28974caef4ba917cfbbcdb23ea26aa8720b9c7c2b59dd8b73,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,compressed,1,grok_4_20_non_reasoning,grok_4_20_reasoning,5.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
428b3f4740edde49da340bf04c919bf3afaaa941a2094392938fc039cacb1858,6085fb7c35b634a28974caef4ba917cfbbcdb23ea26aa8720b9c7c2b59dd8b73,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,compressed,1,grok_4_20_non_reasoning,azure_gpt_5_4_high,4.6923076923076925,False,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0
fd3b991ed1e98b1b49ca522791890a7809c889ad9ea6a33b706618d7bb04def4,246a8de1bffb12f94ad413ba6ebb14077d37fb3e29620d72ed446153f9fb3ac9,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,compressed,1,gemini_3_1_pro_preview,azure_gpt_5_4_high,1.7692307692307692,True,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0
e99013335d1e16782fdbf3cf0df1ed10c07008ec65a05406a76e3b3298e78ca5,087730de984f48c27d45bddd4b47c11581ae888193af7f7b975e8c4f5d1f5f32,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,compressed,1,qwen3_next_80b_instruct,grok_4_20_reasoning,5.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
96ed707dbc76460942d99c639b8de4098f6e04d7c6ac813fc287b49a8d91c7d2,c61a179f59f63aeab3f3f657e8ddd45eb777b3b3160b51105eaf5fe2aed70514,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,compressed,2,grok_4_20_non_reasoning,gemini_3_5_flash,5.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
bc21abc13f5eef4e67bfd39e7528a318aba1d937f338b77cc58a891845115098,76376f79b2b39ddeef57bf9e3f01e1ddbf55f648da9794f4483c150ab49c15c3,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,compressed,3,grok_4_20_non_reasoning,azure_gpt_5_4_high,4.461538461538462,False,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0
b5b064e266ebd2e3027283ea683c61fc350a926cd086e2afec40eddb26bd6533,ffb7cfe27ad7c7ed7421ff8265c864b5e7614923af4e8912c555f64caeda5885,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,hybrid_state,1,grok_4_20_non_reasoning,grok_4_20_reasoning,4.846153846153846,False,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0
53940fde0d334d0735b796edea97c5a94811a3f73a2b499e71eee7bb4acb194e,895b966fbb3ec932db4651276b6cd86f7a9e89a421052f3a28836dea42c60f27,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,ES,hybrid_state,3,grok_4_20_non_reasoning,gemini_3_5_flash,5.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
f562a4c26a4a964c2c685b153fe93255c1f5d4c61721c947baa3933d9e13581d,eee3ee4a111db65ea9c8a49c1bbaf1f2c307415318f2c649b121eba64e33991f,exp06_a_hybrid_state_causal_handoff,A001,handoff_state,EN,compressed,1,grok_4_20_non_reasoning,azure_gpt_5_4_high,4.384615384615385,False,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0
