phase,task_id,language,repetition,generator_model_key,quality_delta_hybrid_state_minus_compressed
exp06_b_zh_tokenizer_ablation,B004,ES_LITERAL,3,qwen3_next_80b_instruct,-0.4615384615384617
exp06_a_hybrid_state_causal_handoff,A010,EN,2,qwen3_next_80b_instruct,-0.43589743589743524
exp06_b_zh_tokenizer_ablation,B004,ZH_PINYIN,2,gemini_3_1_pro_preview,0.3333333333333335
exp06_a_hybrid_state_causal_handoff,A003,ES,2,grok_4_20_non_reasoning,-0.7179487179487181
exp06_b_zh_tokenizer_ablation,B008,ZH,2,gemini_3_1_pro_preview,0.4358974358974359
exp06_a_hybrid_state_causal_handoff,A001,ZH,1,qwen3_next_80b_instruct,0.3589743589743595
exp06_a_hybrid_state_causal_handoff,A006,ZH,3,azure_gpt_5_5_instant,0.02564102564102555
exp06_a_hybrid_state_causal_handoff,A004,ES,2,qwen3_next_80b_instruct,-0.5128205128205128
exp06_a_hybrid_state_causal_handoff,A008,ES,2,grok_4_20_non_reasoning,-0.8974358974358982
exp06_a_hybrid_state_causal_handoff,A004,ES,3,azure_gpt_5_5_instant,-0.0512820512820511
exp06_a_hybrid_state_causal_handoff,A002,ZH,2,azure_gpt_5_5_instant,0.0
exp06_b_zh_tokenizer_ablation,B005,ES_LITERAL,3,grok_4_20_non_reasoning,-0.3589743589743586
exp06_b_zh_tokenizer_ablation,B009,ZH,3,qwen3_next_80b_instruct,-0.5641025641025634
exp06_a_hybrid_state_causal_handoff,A006,ZH,2,qwen3_next_80b_instruct,-0.17948717948717974
exp06_b_zh_tokenizer_ablation,B002,ZH,3,qwen3_next_80b_instruct,0.02564102564102555
exp06_b_zh_tokenizer_ablation,B001,ZH_PINYIN,2,qwen3_next_80b_instruct,0.0512820512820511
exp06_a_hybrid_state_causal_handoff,A007,ZH,2,gemini_3_1_pro_preview,0.3846153846153848
exp06_a_hybrid_state_causal_handoff,A001,ZH,1,grok_4_20_non_reasoning,-0.1538461538461542
exp06_b_zh_tokenizer_ablation,B010,ZH_PINYIN,1,gemini_3_1_pro_preview,-0.7179487179487178
exp06_a_hybrid_state_causal_handoff,A011,ES,2,gemini_3_1_pro_preview,0.2051282051282053
exp06_b_zh_tokenizer_ablation,B007,ES_LITERAL,2,grok_4_20_non_reasoning,0.02564102564102555
exp06_b_zh_tokenizer_ablation,B004,ZH,2,qwen3_next_80b_instruct,-0.9743589743589736
exp06_a_hybrid_state_causal_handoff,A009,EN,2,qwen3_next_80b_instruct,-0.5384615384615392
exp06_a_hybrid_state_causal_handoff,A010,EN,1,azure_gpt_5_5_instant,-0.4615384615384617
exp06_b_zh_tokenizer_ablation,B007,ZH_PINYIN,3,gemini_3_1_pro_preview,0.6923076923076921
exp06_a_hybrid_state_causal_handoff,A002,EN,1,gemini_3_1_pro_preview,0.38461538461538436
exp06_b_zh_tokenizer_ablation,B001,ES_LITERAL,2,qwen3_next_80b_instruct,-0.07692307692307754
exp06_b_zh_tokenizer_ablation,B005,ZH_PINYIN,2,qwen3_next_80b_instruct,0.8205128205128198
